questionType,asin,answerTime,unixTime,question,answerType,answer
yes/no,B00726ARTE,14-Aug-14,1407999600,does the mic have a mute button?,?,"No, this isnt a gaming set though, has no chat mic and doesnt fit with controllers"
open-ended,B00726ARTE,29-Jul-14,1406617200,Does this work with Xbox 360? If not could you please tell my which model does? and does it (or the other) plug right into the controller? Thank you!,,Sorry I don't think it does but if you go to turtle beach.com the website will inform you better than I can.
open-ended,B0072A4JVW,9-May-14,1399618800,is this for the 1000 or 2000 series vita? i just tried to buy same brand from game stop and did not fit my original vita.,,"This is for the original vita system. You have to place the system in the grips at an angle. Where the top buttons are on the vita, they go in first at a downward angle, then the rest of the system snaps right in."
yes/no,B0072A4JVW,23-May-14,1400828400,Does it work well with the PS Vita Slim?,?,Here the 2k model www.amazon.com/Vita-2000-Trigger-Grip-Sony-PSP/dp/B00JYE8L9K/
yes/no,B0072A4JVW,22-Jun-14,1403420400,Will the grips still fit on the vita if it has a case on it? I have the eForCity snap on crystal case,N,Probably not because this case doesnt not leave any space
open-ended,B0072A4JVW,28-Aug-14,1409209200,I heard about the damage that give the ps vita shoulder trigger. Is that true? I really want to buy this hand grip but the review left me uncertain?,,"the trigger grips are really worth it. Like all products, there will be wear and tear but it depends on how much and how vigorously you use them. Honestly I used them so much, that I can't play without them. Get them bro."
yes/no,B0072A4JVW,24-Sep-14,1411542000,Does this allow for access to a portable charger?,?,Of course and you can easily remove or insert your PS vita from the case AT THE SAME TIME as your charging and have earphones plugged in. This case gives you access to all ports except the Sim card port on the 3g model.
open-ended,B0072A4JVW,28-Aug-14,1409209200,I heard about the damage that give the ps vita shoulder trigger. Is that true? I really want to buy this hand grip but the review left me uncertain?,,I don't use my Vita a ton but I found the grip very nice for racing games. There is play in the triggers so it's not great for a FPS but I loved it for NFS.
yes/no,B0072A4JVW,31-Aug-14,1409468400,Is there ANY hard case/pouch out there sized to accommodate a Vita 1000 with these grips applied? I don't want to have to risk scratching.,Y,"I use a kindle fire soft case from Belkin and it fits perfect with the grip, lots of protection too. Got it at target. I took the grip with me to figure out what would fit."
yes/no,B0072A4JVW,22-Aug-14,1408690800,Does it come with l2/r2 buttons because I am trying to play ff8,N,No it doesnt. I also would recommend abother product like the Nyko grips
yes/no,B0072A4JVW,15-Aug-14,1408086000,Does this get rid of having to use the rear touch pad?,N,"No, you can still use the rear touch pad"
open-ended,B0072A4JVW,23-Jun-14,1403506800,"I heard that this does NOT fit the new PS Vita Slim released May 6th 2014, but is there one available for it? I can't seem to find one. Thanks.",,http://www.amazon.com/Vita-2000-Trigger-Grip-Sony-PSP/dp/B00JYE8L9K/ref=pd_sim_vg_6?ie=UTF8&refRID=13J63RJWF0CP4B2RVKTY
open-ended,B0072G4LB4,3-Jul-14,1404370800,Can you change the LED's Color? or is it stuck to blue?,,It's always blue.
open-ended,B0072G4LB4,22-Apr-14,1398150000,Windows 8 operating system?,,"I have used this mouse on both Windows 7 and Windows 8 (without the need to install the drivers that are included with the disc) and can report there have been no issues or ""quirks"" with this mouse on either OS. This is the best mouse I have ever owned (it took me years to upgrade from my old Intellimouse Explorer -- which is now discontinued)."
yes/no,B0072G4LB4,14-Mar-14,1394780400,Does it works on win 8?,Y,Yes it does and quite well.
yes/no,B0072G4LB4,4-Feb-14,1391500800,can l use this on mac,?,"Not really, it moves the cursor and left/right/scroll buttons click but no further customization. Logitech has some decent ones that provide mac drivers and you get to use/map the extra buttons. I have a second one of these at home now since I switched to a mac at work and swapped to a logitech. Shrug, great mouse but only worth it for windows."
yes/no,B0072HYRNK,24-Apr-14,1398322800,Is this a pack of 3 controllers?,?,"Nope, just the one ball controller."
yes/no,B0072HYRNK,9-Sep-14,1410246000,Does this come with a USB cable for charging?,Y,"I bought two of these and received them in the mail yesterday. Mine both came with charging cables that you can plug directly into the ps3, or any usb charging device. I recommend doing what I did, and just buy a charge station if you have multiple controllers. So much easier to manage. Hope this helps."
open-ended,B0072HYRNK,19-Nov-14,1416384000,"Should I also need the PlayStation Eye to play Just Dance on the TV , or will be ok if I just buy the Move Motion Controller?",,yes the eye is what the remote goes by.double check the game it should tell u what u need .
open-ended,B0072HYRNK,8-Aug-14,1407481200,What is bulk packaging?,,I'm guessing but I assume it means buying in bulk. Large quantities of an item.
yes/no,B0072HYRNK,12-Jul-14,1405148400,Does it work with PS4?,Y,Yes the Move Motion Controller does work on the PS4 and PS3. Tested with Just Dance on the PS4
yes/no,B0073J8BYS,28-Jul-14,1406530800,Does this work for the playstation 4 as well?,?,"no, it does not. The controller will work with the new PS4 Eye, but the Playstation Eye included in this pack is only designed for the PS3."
open-ended,B0073J8BYS,31-Aug-14,1409468400,is this kit oem (all parts separatly) or BOX (all parts in sony color box ?,,All parts separately and they are all original
open-ended,B0073J8BYS,15-Apr-15,1429081200,does this has a charger for the controller? how does it charge?,,it's battery operated
yes/no,B0073J8BYS,10-Mar-15,1425970800,Does this include all hardware for ps3 move?,?,"Hi, the bundle that we purchased included: the move controller, the eye camera and the playstation move demo disc. You will have to purchase games separately. I'm including a link with some useful information about the PS3 move setup: https://support.us.playstation.com/app/answers/detail/a_id/2092/~/playstation%C2%AEmove-setup We are satisfied with this purchase."
open-ended,B0073J8BYS,20-Feb-15,1424419200,"Does it come with a mounting bracket for the tv? How does it sit on top of the tv, if no bracket is included?",,"No, it does not but Playstation does sell a mounting clip that is sold through Amazon. Here is some information regarding the mounting clip that I found... The officially Sony licensed PS3 Eye Camera Mounting Clip conveniently mounts the PlayStation Eye camera on flat panel televisions. The clip holds the EYE camera in perfect position for Move gameplay and features a wide range of adjustable settings for various flat-panel HDTV shapes. The Mounting Clip is easy to use straight out of the box with no need to use any adhesive.PlayStation Move and PlayStation Eye Camera each sold separately. The current price is $28.99"
open-ended,B0073J8BYS,30-Dec-14,1419926400,"I see the charger available seperately. Does it come with a charger? Also, one comment says it comes with a gun?",,"It is charged by the same mini USB that charges the Dualshock 3. Mine was used so it did not include a charging cord. I'd assume the new ones do. Also, no it does not come with a gun. But you can find them online and in stores for CHEAP."
yes/no,B0073J8BYS,3-Dec-14,1417593600,Is it a big deal to have the Motion Controller without the Move Navigation Controller?,?,I've never used the Navigation Controller. Never had to. All the games and functions are accessible using the Move or the regular 6-way controllers.
open-ended,B0073J8BYS,3-Dec-14,1417593600,How big of a deal is it not having the motion controller?,,A lot of the games you won't be able to play without it.
yes/no,B0073J8BYS,27-Nov-14,1417075200,is there 2 controllers,N,No just one.
yes/no,B0073J8BYS,14-Nov-14,1415952000,Are all PS3 games compatable with this?,?,"Sorry, I gave it as a gift, I dont know"
open-ended,B0073QM45I,16-May-14,1400223600,"This cable works without having a battery? I mean, It will charge my controller without a battery inside?",,"yes the cable work with out the battery, plus it keeps your controller on with the charging cable pluged in the controller. but it wont carge your controller on it own with out charging battery that is attached to the controller, it would need a charging battery that can be charged to keep the controller on and active."
open-ended,B0073QM45I,2-Feb-15,1422864000,If i plugged this into my 360 controller and then the usb into my pc could it be used as a wired controller for pc gaming,,My son tried this. It does not work. There may be some usb drivers available that would make it work but we have never looked.
open-ended,B0073QM45I,25-Apr-14,1398409200,"Hey, I have a regular xbox 360 wireless controller. The product says ""Charging Cable,"" but if it plays PC too (given the drivers)?",,I could never get it to work on my PC except for charging. I ended up buying an xbox 360 wireless usb receiver for it instead.
yes/no,B0073QM45I,21-Nov-14,1416556800,Would it work with AA batteries,N,No
open-ended,B0073QM45I,24-Jan-15,1422086400,Does it works with PC too? And I will be able to use at the same time this and wireless receiver on my PC?,,I'm not sure cuz my cable riped cuz they crossed and pulled it off so it I put it on my Xbox control and didn't turn on so I'm not sure if it's the cable or the pc that doesn't for it so check it for yourself and see if it works
open-ended,B0073QM45I,9-Oct-14,1412838000,"Okay, would this cable work to turn my controller into s game pad for my PC? Or do I have to buy a wireless adapter.",,Yes it will just plug this cable into your controller and then plug it in your PC to update the cord and its drivers so it can be able to charge your controller on the PC and Xbox console you'll know it'll work once after it installs your the cord drivers to your PC the red light will come on on the cord. To play with the wireless controller on your PC while being plugged up just go to your device manager and scroll all the way at the bottom and select your controller properties and then select its wireless playback drivers for your PC to Xbox controller.
yes/no,B0073QM45I,17-Jul-14,1405580400,Will this allow me to use it as a gamepad for PC?,?,no you need a http://www.amazon.com/Wireless-Pc-Gaming-Receiver-Xbox-xbox360/dp/B0076HD2W8/ref=sr_1_3?s=pc&ie=UTF8&qid=1405580456&sr=1-3&keywords=xbox+360+wireless+adapter if its a wireless controller and the battery charger you asked about or a wired controller
open-ended,B0075W8DG4,27-Dec-13,1388131200,"What do each of the media buttons do? Is there a volume up, down, mute, and next song button?",,"Starting from the far left, the first one is a rewind button, the second play/pause, the third is fast forward, the fourth is mute, the fifth decreases volume, and the sixth increases it. I dont personally know what the rewind pause/play and fast forward buttons are for."
yes/no,B0075W8DG4,27-Jun-14,1403852400,Is it wireless ?,?,"No, It is wired."
open-ended,B0075W8DG4,2-Feb-14,1391328000,How long is the wire of the keyboard?,,"the standard length, dont expect anything special from this keyboard, it is a bottom of the line gaming keyboard that works surprisingly well"
yes/no,B0075W8DG4,3-Apr-14,1396508400,is this mechanical,?,"Trust me I have owned the Razer Black Widow and this keyboard feels good, but is not mechanical in any way."
yes/no,B0075W8DG4,17-Apr-14,1397718000,Can you remove the orange keys and replace them with black ones (does the keyboard come with any)?,?,"It did not come with black keys. This is a pretty average membrane keyboard and if you don't want orange keys, you shouldn't buy the keyboard."
yes/no,B0075W8DG4,10-Feb-14,1392019200,Will this work with Mac?,Y,"It will work, the Windows and Alt key will act as the Command and Options key. Although, they will be reversed, this can be fixed with a program called Double Command."
yes/no,B0075W8DG4,14-Jul-14,1405321200,"Does it have the back little feet behind it,to elevate the keyboard?",Y,Yes
open-ended,B0075W8DG4,4-May-14,1399186800,How long is the length of the cord i need one that is at least 6ft,,Probably close to 4 foot long.
yes/no,B0075W8DG4,31-Mar-14,1396249200,Does it support windows 8?,Y,yes works with windows 8
open-ended,B0075W8DG4,24-Jan-14,1390550400,What kind of key switch does this keyboard use?,,"I'm not sure, but for this price I'm assuming simply a membrane type. It does have a nice tactile feel."
yes/no,B0076DO5A0,12-Apr-14,1397286000,Do I have to have Steam to play this game?,Y,"Yes, I bought it on Amazon and they sent me the game but I had to use Steam to play. Steam is ok except it can be a pain in the butt to log on with their password system. The game is very good. I think if you buy the game and not the download you should not have to fool with 3rd party sites to play the game."
yes/no,B0076DO5A0,30-Oct-14,1414652400,can this work on my IMAC,?,"If your machine is less then three years old and you have a Windows install to boot, you can."
yes/no,B0076DO5A0,12-Dec-14,1418371200,will this game play on windows 7 32 bit.,Y,"Yes, It is the current operating program on my Desk top computer , the game says both 7 and Vista."
yes/no,B0076DO5A0,3-Nov-14,1415001600,Can this be played on windows vista 32 Bit?,Y,Yes
open-ended,B0076DO5A0,12-Apr-14,1397286000,What are the spec. for video card Now using 7800,,NO IDEA!
open-ended,B0076DO5A0,12-Apr-14,1397286000,If I load from disc will I still have to use Steam?,,yes plus they auto update each time you start the game
open-ended,B0076DO5A0,3 days ago,,what are the system requirments on this game?,,"From the website: http://us-ci-games.gamesplanet.com/shop/sniper-ghost-warrior-2/ OS : Windows XP, Vista or Windows 7, with the latest Service Pack CPU: Intel Core 2 Duo at 2Ghz, or AMD Athlon 64 x2 2Ghz, or better RAM: 2GB Video Card: NVidia 8800GT with 512MB RAM or better HDD: 9GB DirectX: 9.0c and a DirectX Compatible Sound Card"
yes/no,B0076HD2W8,23-May-14,1400828400,does it work under Windows 8.1?,Y,"Yes. If it does not auto-detect, go to the device manager and look for it. It will likely be listed as ""Unknown Hardware"" Right-click, update driver, browse to the bottom of the list and ""XBOX 360 Peripherals and accessories"" or something to that effect will be listed. Select this and the list of hardware will appear. Choose the XBOX 360 Wireless receiver and go through the install process. The controller/receiver will be installed. Just confirmed it by installing about five minutes ago in Win8.1."
open-ended,B0076HD2W8,20-Jun-14,1403247600,Does this connect more than 1 controller or do I need to buy multiple one?,,I have connected at least 2 controllers. I believe a single unit will connect up to 4.
yes/no,B0076HD2W8,21-Aug-14,1408604400,does this work with SteamOS?,Y,Yes use it everyday
yes/no,B0076HD2W8,24-Jun-14,1403593200,Will this work with 64 bit Windows 7?,Y,"Yes, that is what I'm running at home and it works perfectly."
yes/no,B0076HD2W8,10-Jun-14,1402383600,Will this still work without a CD Drive?,Y,Yes. The cd is useless anyway. Look at this vid. http://m.youtube.com/watch?v=kxa5CJsDzwQ
yes/no,B0076HD2W8,28-Aug-14,1409209200,does this work with a mac,Y,There is a third party driver you can get that makes it work. http://tattiebogle.net/index.php/ProjectRoot/Xbox360Controller/OsxDriver
yes/no,B0076HD2W8,12-Aug-14,1407826800,Will this work with Fire TV ?,Y,Reports from others online suggest that the Microsoft Branded USB Receiver DOES work with the Amazon Fire TV. Has anyone who's bought THIS one had the chance to try it out with the Fire TV?
open-ended,B0076HD2W8,28-Feb-15,1425110400,How do I connect my controller to the receiver without the CD i lost it,,"When I bought the gaming receiver, the CD didn't really help with installation so I looked online for installation software. You can install the software from the Windows website: http://www.microsoft.com/hardware/en-us/d/xbox-360-wireless-controller-for-windows And if you have problems even after installing the software, check out this YouTube video: https://www.youtube.com/watch?v=MJSzC7mrduU&src_vid=InwN0fyHy0w&feature=iv&annotation_id=annotation_3692610237 When you first install the receiver, your computer probably won't recognize it as a receiver. The video will teach both how to install it and how to make it easier for the computer to recognize."
open-ended,B0076HD2W8,27-Jun-14,1403852400,Where do I find the drivers for this adapter?,,"If you're using Microsoft you should be able to browse your computer for the drivers (Windows 7: Devices and Printers - right click USB Receiver for properties - click hardware tab - properties - driver tab - update driver - browse computer. There may be multiple options provided by Microsoft ""Xbox 360 Controller for Windows,"" if the first one doesn't work try the next)."
open-ended,B0076HD2W8,22-Nov-14,1416643200,It only blinks once or twice when I hit the button on the receiver is that normal? I can't sync it to my controller.,,http://www.microsoft.com/hardware/en-us/d/xbox-360-controller-for-windows here to update Drivers and then this how you sync your pc to your controller https://www.youtube.com/watch?v=AaqFQkSrikA
yes/no,B0079V29EI,17-Apr-14,1397718000,"I have read lots of complaints about people receiving the wrong model for their vita. I have the original vita, will this grip work for that model?",Y,The answer is yes. I also have the original Vita and it works great.
yes/no,B0079V29EI,11-Nov-14,1415692800,Will this work with PS Vita slim?,N,No. Fat version only (1000 series)
yes/no,B0079V29EI,19-Aug-14,1408431600,Do these still fail to hold the additional power after a month of use?,?,"I think it has to do with how you charge it. I thought mine wasn't holding a charge after a few months, but what I found is that if you charge the Power Grip and Vita separately, then it holds its full charge. I don't recall if the manual says to do that, but that's what works for me. I get a full week out of mine on one charge, no problem (one hour train commute to and from work and some time before bed here and there)."
open-ended,B0079V29EI,9-Oct-14,1412838000,What do you recomend to me to use the portable charger of ps vita or this grip? I play ps vita at home most of the time.,,"I bought this because it is the most comfortable grip out there. I have the portable charger as well, but the benefit the power grip has over the external battery is that there are no wires if you are charging the Vita with it. If that doesn't bother you then it is just a really nice grip that happens to charge the vita as well."
yes/no,B0079V29EI,29-Dec-14,1419840000,I have the PS Vita Model 1001 that was part of the Assassins Creed Liberation bundle. Will this work with that model?,Y,Yes it should definitely work.
yes/no,B0079V29EI,6-Oct-14,1412578800,is it possible to change the battery of the nyko?,N,No I don't believe so
yes/no,B0079V29EI,29-Sep-14,1411974000,Does this come with a charging cable as well? I lost mine and was hoping for a two for one.,N,no it does not come with a charger
yes/no,B0079V29EI,20-Jun-14,1403247600,Can I charge my vita with this grip on?,Y,Yes the port on the bottom of the grip allows you to be plugged in while it is on the vita (in the event you forgot to charge the grip and Vita and are both dead). Personally I never ran into this issue as the grip gives you that second charge for your vita :)
yes/no,B0079V29EI,19-Jun-14,1403161200,"Yes, I have the original vita model. If I have a Hori skin protector attached, will it still fit on the grip? Thanks!",Y,Yes it will fit. The Vita is placed into the Nyko grip at an angle (Top first and then bottom) and once it's resting in the grip there will be only a slight latch on the top and bottom to partially secure it. The main way the Vita is secured is by the locking mechanism on the bottom side at the charging port. The Hori should not ever be affected by what little this grip actually is touching on the Vita's face.
open-ended,B0079V29EI,9-Aug-14,1407567600,"If you ordered this product recently and got the grip for the original Vita instead of the PCH2000, which seller did you get it from?",,I got it new from cheek up a seller in japan they have never let me down before so i think you will be happy
yes/no,B007A7K60A,8-Nov-13,1383897600,Do you need Internet. Connection to play these games?,N,No.
yes/no,B007A7K60A,31-Aug-14,1409468400,will this work with windows 8 on a PC,Y,Yes it would
yes/no,B007A7K60A,17-May-14,1400310000,will it work with HP touch screen?,N,I'm not sure as I don't have HP touch screen. Sorry.
yes/no,B007A7K60A,4-Feb-14,1391500800,"Can you list all the games in this slots adventure pack, please. Thank you.",?,"Carnival, Cash Climb, Chocolate, Dance Electric, Dinosaurs, En Fuego, Fireworks, Fishn' Fortune, Going Once, HO!HO! Dough, Mirage, Order in the Court. BTW, I am running Windows 7 and this game only plays in a small window. It might be better in other operating systems but it sucks in Windows 7."
open-ended,B007A7K60A,26-Feb-14,1393401600,What games are included in program?,,"On my laptop must be played in ""windowed"" form only. Good games, lot of fun."
yes/no,B007A7UJ4S,31-May-14,1401519600,"If I could buy this game, would it have English subtitles? I'm hearing-impaired, so I don't enjoy playing games I can't understand.",?,"You are in luck! When you open the game, you actually have two options for languet. You can either choose dubbed english version, or original Japaneese voices. If you choose the english dubbed version, most of the game will have subtitles, but there will be cut-scenes with no subtitles at all. How-ever, if you choose the original japaneese dub, Every-thing will have subtitles including animated cut-scenes! So when you are on the main-menu of the game, go to ""Settings."" choose ""Languetes."" and then choose original Japaneese voices, the entire game will have english subtitles ^^"
yes/no,B007A7UJ4S,29-Apr-14,1398754800,Do this game have English Voices?,Y,"Yes, it does."
open-ended,B007A7UJ4S,16-Jul-14,1405494000,This game does the option of keeping original Japanese dub with English sub?,,yes it does
yes/no,B007A7UJ4S,5-Feb-15,1423123200,Does this game have Japanese subtitles? I know it already has Japanese dub.,?,It has both I believe.
open-ended,B007A7UJ4S,8-Feb-15,1423382400,This game is Spanish or subtitled in Spanish?,,You can select the language in which the text will display and spanish is an option. The game audio can be chosen as well english or Japanese.
yes/no,B007A7UJ4S,10-Feb-15,1423555200,"does the game come with the spell book, like in japan",N,No
yes/no,B007A7UJ4S,22-Jul-14,1406012400,Does it have spanish sub titles?,Y,Yes it does :). In the setup you can choose the languages From English French and Spanish
yes/no,B007A7UJ4S,4 days ago,,can it be set to Japanese voices and English sub at the same time?,Y,Yes it can. Japanese voice English dubbed is a option.
open-ended,B007A7UJ4S,24-Jan-15,1422086400,how many Gigabytes are required to install this game on the ps3? In save data tool (i think) you can see it,,"After installation it totals at 3,847 MB or 3.8 GB. I don't believe there is any updates for it though."
yes/no,B007A7UJ4S,26-Nov-14,1416988800,"Does anyone who has previously bought this game thru amazon,does it come with the box or just the downloadable disk?",?,I received it in a box
yes/no,B007A7UJ4S,31-May-14,1401519600,"If I could buy this game, would it have English subtitles? I'm hearing-impaired, so I don't enjoy playing games I can't understand.",?,"You are in luck! When you open the game, you actually have two options for languet. You can either choose dubbed english version, or original Japaneese voices. If you choose the english dubbed version, most of the game will have subtitles, but there will be cut-scenes with no subtitles at all. How-ever, if you choose the original japaneese dub, Every-thing will have subtitles including animated cut-scenes! So when you are on the main-menu of the game, go to ""Settings."" choose ""Languetes."" and then choose original Japaneese voices, the entire game will have english subtitles ^^"
yes/no,B007A7UJ4S,29-Apr-14,1398754800,Do this game have English Voices?,Y,"Yes, it does."
open-ended,B007A7UJ4S,16-Jul-14,1405494000,This game does the option of keeping original Japanese dub with English sub?,,yes it does
yes/no,B007A7UJ4S,5-Feb-15,1423123200,Does this game have Japanese subtitles? I know it already has Japanese dub.,?,It has both I believe.
open-ended,B007A7UJ4S,8-Feb-15,1423382400,This game is Spanish or subtitled in Spanish?,,You can select the language in which the text will display and spanish is an option. The game audio can be chosen as well english or Japanese.
yes/no,B007A7UJ4S,10-Feb-15,1423555200,"does the game come with the spell book, like in japan",N,No
yes/no,B007A7UJ4S,22-Jul-14,1406012400,Does it have spanish sub titles?,Y,Yes it does :). In the setup you can choose the languages From English French and Spanish
yes/no,B007A7UJ4S,4 days ago,,can it be set to Japanese voices and English sub at the same time?,Y,Yes it can. Japanese voice English dubbed is a option.
open-ended,B007A7UJ4S,24-Jan-15,1422086400,how many Gigabytes are required to install this game on the ps3? In save data tool (i think) you can see it,,"After installation it totals at 3,847 MB or 3.8 GB. I don't believe there is any updates for it though."
yes/no,B007A7UJ4S,26-Nov-14,1416988800,"Does anyone who has previously bought this game thru amazon,does it come with the box or just the downloadable disk?",?,I received it in a box
open-ended,B007C3E5WM,10-Apr-14,1397113200,Do the side buttons work when using it on a mac? What commands (if any) are they bound to?,,"yes, it says it works on mac as fare as anything else you can't read their writing nor can you understand and of the printing in the paperwork or on the box? buy it dose say it works on Windows Vista, 98/me/200/and XP and mac I am using it on my windows 7 professional"
open-ended,B007C3E5WM,18-Mar-14,1395126000,How many buttons/clickers does this one have? I need at least 3 for Elder Scrolls Online. Thanks in advance!,,"It has 2 on the left side, 1 left mouse button, 1 right mouse button, and the scroll wheel can be clicked in. There is also a dpi changer behind the scroll wheel, Idk if you can change that to whatever you want though."
yes/no,B007C3E5WM,4-Feb-14,1391500800,does it work for windows 7,Y,Yes it does
yes/no,B007C3E5WM,3-Jan-14,1388736000,Is this mouse compatible with a macbook pro?,?,Absolutely. Works perfectly.
open-ended,B007C3E5WM,29-Dec-13,1388304000,how are the Mac drivers? can turn off cursor acceleration? or is it just stock mouse controls?,,I'm just using stock mouse controls and using a pc.
yes/no,B007C3E5WM,5-Dec-13,1386230400,Does it work with windows 8?,Y,Yes it does.
yes/no,B007C3E5WM,5-Dec-13,1386230400,Does it work with windows 8?,Y,Yes it works with windows 8
open-ended,B007C3E5WM,8-Aug-13,1375945200,Is the light bright and should I buy this product?,,the light is very bright and if you are looking for a mouse that can handle ton's of play or work time this is the one to get
open-ended,B007CM0K86,17-Apr-14,1397718000,is multilanguage? Spanish?,,"It has four different languages, English, French, Spanish and Portuguese. You can change the text, subtitles and speech, and all of this can be found in the options. If you have any other question I am more then happy to help, I love this game and the story line."
open-ended,B007CM0K86,7-Nov-14,1415347200,why is it rated M,,"Because of the misuse of improper footwear in a apocalyptic society gone awry. The amount of gangrene that the two players should have died from due to not taking the time to show proper footwear usage and choices is just appalling. The ESRB saw this and thought about how many kids could be influenced by this game and wear wrong shoes and die an early age so they slapped an M on it. Oh and the violence, blood and cursing as well attributed to the M."
open-ended,B007CM0K86,9-May-14,1399618800,I'm hearing impaired. Are there subtitles and does it effect the game play not being able to hear?,,"There are subtitles. Being not native English speaker I'm still using them myself... You will loose some atmosphere definitely because of not being able to hear surroundings which are done in absolutely amazing way :(.. But I still think you will enjoy it and the game provides ""high awareness"" mode when the hero ""hear"" through walls (you both hear the sounds on long distances *and* see the silhouettes through obstacles) - so should be good to go."
open-ended,B007CM0K86,31-Aug-14,1409468400,What is the difference between the Standard and Survival Edition?,,"Survival Edition is a collector's item. (I'm pretty sure) it comes with a statuette and the Pandemic Edition also comes with ""The Art of The Last of Us"". Hope I helped!"
yes/no,B007CM0K86,24-Jul-14,1406185200,Is I have be 17 to by game?,Y,Yes. This game is rated 17+ for everything from violence and language to gore and nudity. This is an extremely dark game that is aimed towards a mature audience.
open-ended,B007CM0K86,9-May-14,1399618800,for two players?,,It has multiplayer modes but the single player storyline game is solo.
open-ended,B007CM0K86,1-Jul-14,1404198000,Can you play the girl as the main character? or do you have to play the man?,,You play as the guy (Joel) for the majority of the game but play as girl (Ellie) for a small part. You can't switch charecters though.
yes/no,B007CM0K86,23-Jul-14,1406098800,Do it has scary zombies?,?,"No, but they are scary to beat when they outnumber you 4 to 1. That's what makes it fun!!"
open-ended,B007CM0K86,28-Aug-14,1409209200,why is the digital download more expensive the the actual hardware?,,You tell me man. Makes no sense.
yes/no,B007CM0K86,6-May-14,1399359600,Is there any detailed information on what this game will be like and include for PS4?,?,It will release this year with more better graphics & included all DLC's & multiplayers maps
yes/no,B007FTE2VW,11-Jun-14,1402470000,Is it compatible with Windows 8/8.1?,Y,"Yes, It's compatible. I have in running on my desktop and my surface pro. Both 8.1"
open-ended,B007FTE2VW,31-May-14,1401519600,What is the difference between standard and Limited Edition? Also has this game gotten any better since all the launch day problems?,,"With the limited edition, you get a few more add-ons. Other than that, there is not a difference. Also, we have not had any problems with the game other than it takes awhile to install because of the size. It is a lot more realistic than it use to be."
open-ended,B007FTE2VW,29-Jul-14,1406617200,In the picture you show the Standar version so are you seling the SimCity: Limited Edition or Standar ?,,"I am not selling anything, the game has drm and is tied to an account once activated. I simply wrote the review to help future customers with their purchases. The limited was a pre order special that came with a couple digital extras and a beta. As far as SimCity standard, it is the same as limited, I believe deluxe is the one with all the bells and whistles with digital content."
yes/no,B007FTE2VW,19-Aug-14,1408431600,Does this game have a product code? You need one to play it.,?,Yes I believe so and its linked to one email and password.
yes/no,B007FTE2VW,3-Mar-15,1425369600,does it work with windows 7?,Y,yes it does work with Windows 7
yes/no,B007FTE2VW,26-Nov-14,1416988800,will this go on windows vista?,Y,Yes
yes/no,B007FTE2VW,20-Oct-14,1413788400,Do you need origin to install,?,Yeah before doing so you should install a anti-virus system probably Webroot is the best. The only reason you should install a anti-virus is so you won't end up having a virus like I did.
yes/no,B007FTE2VW,25-Oct-14,1414220400,Do you have to install with origin,Y,Yes because Sim city connects and is run by EA though u can go offline EA requires u to have and enter a key through origin
open-ended,B007FTE2VW,13-Oct-14,1413183600,I've heard that there is now a single-player does that mean that if the internet somehow goes off and I am on single player will I still play.,,Correct. The other advantages of single player mode are that the space center work is not bugged and that the prices of the goods are steady and do not swing around. The one disadvantage is that you don't get achievements.
open-ended,B007FTE2VW,18-Sep-14,1411023600,"Will the game work on a (Intel(R) Q45/Q43 Express Chipset) video card? Or will I have to get a new card, if so what will fit a Lenovo think center M58",,I don't know on that one...might check its compatibility on the website.
yes/no,B007FVVXXA,21-May-14,1400655600,Will it work with a fat ps3?,Y,Yes it works on mine
yes/no,B007FVVXXA,1-Dec-14,1417420800,Can you use one of the ports to hook up a external hard drive to the PS3?,Y,Yes
yes/no,B007FVVXXA,26-Aug-14,1409036400,Is it Compatible with the Super Slim?,Y,"Even if it did, I wouldn't get it. Mine lasted about a month and quit working. I use my ps3 about 2 times a week if even. So that should tell you something about the device."
yes/no,B007FVVXXA,13-Jul-14,1405234800,should I tape it to the ps3 if it wont stay or is there somthing I can use something else? will it help to put my ps3 vertically,Y,I'm just saying from my experience that it fried my turtle beaches and a racing wheel so I would use it
open-ended,B007FVVXXA,11-Jun-14,1402470000,Can you plug in multiple controllers like for example 4 wired controllers? Would they all work to play multiplayer?,,This will work with as many as the Bluetooth can handle. I can plug in all 5 of my Rockband instruments and still use the controllers You may have to manually program the controller numbers on some but yes they would all work
yes/no,B007FVVXXA,19-Sep-14,1411110000,Will this work on the PS4,?,read my review this thing is a piece of junk
open-ended,B007JDMPOK,16-May-14,1400223600,Is the Regal Frostlion Mount available for all the characters in the account or can only use it on one character?,,it is account bound so all characters
open-ended,B007JDMPOK,9-Jun-14,1402297200,If i have an account on tera already can I use the stuff from the collectors edition on that account?,,"Yes, definitely can, and absolutely worth it too! (You even still get Founder's status added to your account, heh. I bought it for the toon unlocks, and that plus the mount alone was worth it, let alone the other cool stuff in the box)"
